"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID"
"10:02:22.8174577","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\windows.storage.dll","SUCCESS","CreationTime: 04/12/2023 03:41:29, LastAccessTime: 26/06/2025 10:02:07, LastWriteTime: 04/12/2023 03:41:30, ChangeTime: 06/02/2025 13:36:38, AllocationSize: 8,015,872, EndOfFile: 8,013,136, FileAttributes: A","6320"
"10:02:22.8180447","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\Wldp.dll","NAME NOT FOUND","","5876"
"10:02:22.8181127","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\wldp.dll","SUCCESS","CreationTime: 04/12/2023 03:41:45, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:45, ChangeTime: 06/02/2025 13:36:28, AllocationSize: 180,224, EndOfFile: 178,320, FileAttributes: A","5876"
"10:02:22.8205261","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup","SUCCESS","CreationTime: 06/02/2025 12:24:43, LastAccessTime: 26/06/2025 09:02:12, LastWriteTime: 06/02/2025 17:01:20, ChangeTime: 06/02/2025 17:01:20, AllocationSize: 0, EndOfFile: 0, FileAttributes: RD","6320"
"10:02:22.8214027","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\SecurityMonitor.exe","NAME NOT FOUND","","6320"
"10:02:22.8507437","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\AppData\Roaming","SUCCESS","CreationTime: 06/02/2025 12:24:05, LastAccessTime: 26/06/2025 10:02:04, LastWriteTime: 26/06/2025 09:02:44, ChangeTime: 26/06/2025 09:02:44, AllocationSize: 4,096, EndOfFile: 4,096, FileAttributes: D","6320"
"10:02:22.8551315","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\AppData\Roaming\Microsoft\Windows\SecurityMonitor","SUCCESS","CreationTime: 20/06/2025 15:45:39, LastAccessTime: 26/06/2025 10:02:04, LastWriteTime: 20/06/2025 15:45:39, ChangeTime: 20/06/2025 15:45:39, AllocationSize: 0, EndOfFile: 0, FileAttributes: D","6320"
"10:02:22.8556106","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\AppData\Roaming\Microsoft\Windows\SecurityMonitor\SecurityMonitor.exe","NAME NOT FOUND","","6320"
"10:02:22.8558691","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\AppData\Roaming\SecurityMonitor.exe","NAME NOT FOUND","","6320"
"10:02:46.3290495","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\GOGLoader.pdb","NAME NOT FOUND","","6320"
